financial_year,wpm_material_type,wpm_material_name,waste_stream,recycled,waste_to_energy,export_interstate,export_international,disposal,recovery_rate,,,,,,,
2007-2008,"Aggregate, masonry and soils",Asphalt,Municipal,Solid,Waste,25503,0,0,0,770.327661,0.97068,,,,,
2007-2008,"Aggregate, masonry and soils",Bricks,Commercial,and,Industrial,8781,0,0,0,33637.776913,0.207007,,,,,
2007-2008,"Aggregate, masonry and soils",Bricks,Construction,and,Demolition,275940,0,0,0,27573.642037,0.909151,,,,,
2007-2008,"Aggregate, masonry and soils",Bricks,Municipal,Solid,Waste,8407,0,0,0,50597.899365,0.142479,,,,,
2007-2008,"Aggregate, masonry and soils",Concrete,Commercial,and,Industrial,117809,0,0,0,39745.556997,0.747734,,,,,
2007-2008,"Aggregate, masonry and soils",Concrete,Construction,and,Demolition,1491840,0,0,0,25082.375515,0.983464,,,,,
2007-2008,"Aggregate, masonry and soils",Concrete,Municipal,Solid,Waste,107669,0,0,0,410.802056,0.996199,,,,,
2007-2008,"Aggregate, masonry and soils",Plaster,Commercial,and,Industrial,32521,0,0,0,27745.002749,0.539624,,,,,
2007-2008,"Aggregate, masonry and soils",Plaster,Construction,and,Demolition,179,0,0,0,14908.840881,0.011863,,,,,
2007-2008,"Aggregate, masonry and soils",Plaster,Municipal,Solid,Waste,775,0,0,0,4562.767118,0.145191,,,,,
2007-2008,"Aggregate, masonry and soils",Rubble,Commercial,and,Industrial,14051,0,0,0,17550.586131,0.444629,,,,,
2007-2008,"Aggregate, masonry and soils",Rubble,Construction,and,Demolition,83693,0,0,0,9490.666248,0.89815,,,,,
2007-2008,"Aggregate, masonry and soils",Rubble,Municipal,Solid,Waste,5130,0,0,0,3082.106967,0.624687,,,,,
2007-2008,"Aggregate, masonry and soils",Soil,and,natural,materials,Commercial,and,Industrial,100772,0,0,0,133488.427168,0.43017,,
2007-2008,"Aggregate, masonry and soils",Soil,and,natural,materials,Construction,and,Demolition,628752,0,0,0,707105.735441,0.470672,,
2007-2008,"Aggregate, masonry and soils",Soil,and,natural,materials,Municipal,Solid,Waste,13269,0,0,0,16060.744447,0.452407,,
2007-2008,Glass,Container,glass,Commercial,and,Industrial,6990,0,0,0,35025.181535,0.166368,,,,
2007-2008,Glass,Container,glass,Construction,and,Demolition,0,0,0,0,655.866513,0,,,,
2007-2008,Glass,Container,glass,Municipal,Solid,Waste,155330,0,0,0,40382.404132,0.793664,,,,
2007-2008,Glass,Other,glass,Commercial,and,Industrial,11249,0,0,0,17190.268273,0.395544,,,,
2007-2008,Glass,Other,glass,Construction,and,Demolition,0,0,0,0,3199.861745,0,,,,
2007-2008,Glass,Other,glass,Municipal,Solid,Waste,0,0,0,0,39988.057488,0,,,,
2007-2008,Metals,Aluminium,Commercial,and,Industrial,14395,0,0,0,21742.421674,0.39834,,,,,
2007-2008,Metals,Aluminium,Construction,and,Demolition,298,0,0,0,3780.016724,0.073074,,,,,
2007-2008,Metals,Aluminium,Municipal,Solid,Waste,1903,0,0,0,21799.925475,0.080285,,,,,
2007-2008,Metals,Ferrous,Commercial,and,Industrial,652398.28,0,0,0,70667.68462,0.902266,,,,,
2007-2008,Metals,Ferrous,Construction,and,Demolition,55888,0,0,0,16186.544032,0.775419,,,,,
2007-2008,Metals,Ferrous,Municipal,Solid,Waste,64686.2,0,0,0,36619.473596,0.638524,,,,,
2007-2008,Metals,Other,metals,Commercial,and,Industrial,130945,0,0,0,0,1,,,,
2007-2008,Metals,Other,metals,Construction,and,Demolition,103623,0,0,0,0,1,,,,
2007-2008,Metals,Other,metals,Municipal,Solid,Waste,35859,0,0,0,0,1,,,,
2007-2008,Organics,Food,organics,Commercial,and,Industrial,24301,0,0,0,308592.22035,0.072999,,,,
2007-2008,Organics,Food,organics,Construction,and,Demolition,3484,0,0,0,2919.457243,0.544081,,,,
2007-2008,Organics,Food,organics,Municipal,Solid,Waste,1103,0,0,0,662478.657819,0.001662,,,,
2007-2008,Organics,Garden,organics,Commercial,and,Industrial,19074,0,0,0,77780.726776,0.196934,,,,
2007-2008,Organics,Garden,organics,Construction,and,Demolition,5223,0,0,0,21044.992559,0.198835,,,,
2007-2008,Organics,Garden,organics,Municipal,Solid,Waste,286762,0,0,0,104974.430008,0.732027,,,,
2007-2008,Organics,Other,organics,Commercial,and,Industrial,7917,0,0,0,38395.098971,0.170948,,,,
2007-2008,Organics,Other,organics,Construction,and,Demolition,0,0,0,0,511.109159,0,,,,
2007-2008,Organics,Other,organics,Municipal,Solid,Waste,0,0,0,0,104706.550936,0,,,,
2007-2008,Organics,Wood,/timber,Commercial,and,Industrial,84728.4,0,0,0,299943.02005,0.220261,,,,
2007-2008,Organics,Wood,/timber,Construction,and,Demolition,22288,0,0,0,114769.102539,0.162618,,,,
2007-2008,Organics,Wood,/timber,Municipal,Solid,Waste,14313.5,0,0,0,29298.803915,0.328198,,,,
2007-2008,Paper,and,cardboard,Cardboard,Commercial,and,Industrial,363046.68,0,0,0,100042.152899,0.783967,,,
2007-2008,Paper,and,cardboard,Cardboard,Construction,and,Demolition,12516,0,0,0,4202.605587,0.748627,,,
2007-2008,Paper,and,cardboard,Cardboard,Municipal,Solid,Waste,3983.7,0,0,0,38482.424618,0.093808,,,
2007-2008,Paper,and,cardboard,Liquidpaperboard,Commercial,and,Industrial,1196,0,0,0,36137.202017,0.032035,,,
2007-2008,Paper,and,cardboard,Liquidpaperboard,Construction,and,Demolition,0,0,0,0,521.785047,0,,,
2007-2008,Paper,and,cardboard,Liquidpaperboard,Municipal,Solid,Waste,12,0,0,0,29218.66039,0.00041,,,
2007-2008,Paper,and,cardboard,Newsprint,and,magazines,Commercial,and,Industrial,72077,0,0,0,0,1,
2007-2008,Paper,and,cardboard,Newsprint,and,magazines,Construction,and,Demolition,5389,0,0,0,0,1,
2007-2008,Paper,and,cardboard,Newsprint,and,magazines,Municipal,Solid,Waste,8316,0,0,0,0,1,
2007-2008,Paper,and,cardboard,Other,paper,Commercial,and,Industrial,6322,0,0,0,107880.868908,0.055357,,
2007-2008,Paper,and,cardboard,Other,paper,Construction,and,Demolition,2469,0,0,0,1591.56202,0.608043,,
2007-2008,Paper,and,cardboard,Other,paper,Municipal,Solid,Waste,155090,0,0,0,131479.270164,0.541195,,
2007-2008,Paper,and,cardboard,Printing,and,writing,paper,Commercial,and,Industrial,88605,0,0,0,103720.19491,0.460704
2007-2008,Paper,and,cardboard,Printing,and,writing,paper,Construction,and,Demolition,501,0,0,0,1626.248683,0.235515
2007-2008,Paper,and,cardboard,Printing,and,writing,paper,Municipal,Solid,Waste,159,0,0,0,87773.117369,0.001808
2007-2008,Plastic,HDPE,(2),Commercial,and,Industrial,0,0,0,0,68769.566272,0,,,,
2007-2008,Plastic,HDPE,(2),Construction,and,Demolition,0,0,0,0,4253.570471,0,,,,
2007-2008,Plastic,HDPE,(2),Municipal,Solid,Waste,0,0,0,0,74795.770612,0,,,,
2007-2008,Plastic,LDPE,(4),Commercial,and,Industrial,0,0,0,0,51505.240011,0,,,,
2007-2008,Plastic,LDPE,(4),Construction,and,Demolition,0,0,0,0,3185.728512,0,,,,
2007-2008,Plastic,LDPE,(4),Municipal,Solid,Waste,0,0,0,0,35675.898426,0,,,,
2007-2008,Plastic,Other,plastics,(7),Commercial,and,Industrial,0,0,0,0,38641.588028,0,,,
2007-2008,Plastic,Other,plastics,(7),Construction,and,Demolition,0,0,0,0,2280.719249,0,,,
2007-2008,Plastic,Other,plastics,(7),Municipal,Solid,Waste,0,0,0,0,88206.618519,0,,,
2007-2008,Plastic,PET,(1),Commercial,and,Industrial,0,0,0,0,28486.13833,0,,,,
2007-2008,Plastic,PET,(1),Construction,and,Demolition,0,0,0,0,1761.939233,0,,,,
2007-2008,Plastic,PET,(1),Municipal,Solid,Waste,0,0,0,0,49910.77446,0,,,,
2007-2008,Plastic,PP,(5),Commercial,and,Industrial,0,0,0,0,55245.844034,0,,,,
2007-2008,Plastic,PP,(5),Construction,and,Demolition,0,0,0,0,3417.094268,0,,,,
2007-2008,Plastic,PP,(5),Municipal,Solid,Waste,0,0,0,0,38266.885463,0,,,,
2007-2008,Plastic,PS,(6),Commercial,and,Industrial,0,0,0,0,14386.938551,0,,,,
2007-2008,Plastic,PS,(6),Construction,and,Demolition,0,0,0,0,889.8683,0,,,,
2007-2008,Plastic,PS,(6),Municipal,Solid,Waste,0,0,0,0,9965.334757,0,,,,
2007-2008,Plastic,PVC,(3),Commercial,and,Industrial,0,0,0,0,36255.085147,0,,,,
2007-2008,Plastic,PVC,(3),Construction,and,Demolition,0,0,0,0,2242.468115,0,,,,
2007-2008,Plastic,PVC,(3),Municipal,Solid,Waste,0,0,0,0,25112.643584,0,,,,
2007-2008,Textiles,Clothing,Commercial,and,Industrial,0,0,0,0,48279.749451,0,,,,,
2007-2008,Textiles,Clothing,Construction,and,Demolition,0,0,0,0,3602.691278,0,,,,,
2007-2008,Textiles,Clothing,Municipal,Solid,Waste,0,0,0,0,65175.878481,0,,,,,
2007-2008,Textiles,Other,textiles,Commercial,and,Industrial,93.6,0,0,0,74156.730464,0.00126,,,,
2007-2008,Textiles,Other,textiles,Construction,and,Demolition,0,0,0,0,6421.688305,0,,,,
2007-2008,Textiles,Other,textiles,Municipal,Solid,Waste,414,0,0,0,21341.994479,0.019029,,,,
2007-2008,Tyres,and,rubber,Offroad,tyres,Commercial,and,Industrial,8700,0,0,0,0,1,,
2007-2008,Tyres,and,rubber,Offroad,tyres,Construction,and,Demolition,100,0,0,0,0,1,,
2007-2008,Tyres,and,rubber,Offroad,tyres,Municipal,Solid,Waste,967,0,0,0,0,1,,
2007-2008,Tyres,and,rubber,Other,rubber,Commercial,and,Industrial,0,0,0,0,10382.665404,0,,
2007-2008,Tyres,and,rubber,Other,rubber,Construction,and,Demolition,0,0,0,0,174.425583,0,,
2007-2008,Tyres,and,rubber,Other,rubber,Municipal,Solid,Waste,0,0,0,0,2560.56334,0,,
2007-2008,Tyres,and,rubber,Passenger,tyres,Commercial,and,Industrial,6560,0,0,0,1130.171409,0.853036,,
2007-2008,Tyres,and,rubber,Passenger,tyres,Construction,and,Demolition,0,0,0,0,125.099349,0,,
2007-2008,Tyres,and,rubber,Passenger,tyres,Municipal,Solid,Waste,338,0,0,0,0,1,,
2007-2008,Tyres,and,rubber,Truck,tyres,Commercial,and,Industrial,7845,0,0,0,0,1,,
2007-2008,Tyres,and,rubber,Truck,tyres,Construction,and,Demolition,0,0,0,0,0,,,
2007-2008,Tyres,and,rubber,Truck,tyres,Municipal,Solid,Waste,243,0,0,0,0,1,,
2008-2009,"Aggregate, masonry and soils",Asphalt,Commercial,and,Industrial,11747,0,0,0,3543.659169,0.768246,,,,,
2008-2009,"Aggregate, masonry and soils",Asphalt,Construction,and,Demolition,186424,0,0,0,879.929149,0.995302,,,,,
2008-2009,"Aggregate, masonry and soils",Asphalt,Municipal,Solid,Waste,27631,0,0,0,763.084192,0.973125,,,,,
2008-2009,"Aggregate, masonry and soils",Bricks,Commercial,and,Industrial,7557,0,0,0,30347.340042,0.19937,,,,,
2008-2009,"Aggregate, masonry and soils",Bricks,Construction,and,Demolition,230685,0,0,0,24876.396952,0.902659,,,,,
2008-2009,"Aggregate, masonry and soils",Bricks,Municipal,Solid,Waste,5374,0,0,0,50122.122194,0.096835,,,,,
2008-2009,"Aggregate, masonry and soils",Concrete,Commercial,and,Industrial,76870,0,0,0,35857.658978,0.681908,,,,,
2008-2009,"Aggregate, masonry and soils",Concrete,Construction,and,Demolition,1554870,0,0,0,22628.825346,0.985655,,,,,
2008-2009,"Aggregate, masonry and soils",Concrete,Municipal,Solid,Waste,81091,0,0,0,406.939243,0.995006,,,,,
2008-2009,"Aggregate, masonry and soils",Plaster,Commercial,and,Industrial,10824,0,0,0,25030.995213,0.301882,,,,,
2008-2009,"Aggregate, masonry and soils",Plaster,Construction,and,Demolition,26403,0,0,0,13450.462705,0.662502,,,,,
2008-2009,"Aggregate, masonry and soils",Plaster,Municipal,Solid,Waste,32,0,0,0,4519.862957,0.00703,,,,,
