financial_year,wpm_material_type,wpm_material_name,waste_stream,recycled,waste_to_energy,export_interstate,export_international,disposal,recovery_rate,,,,,,,
2013-2014,Organics,Food,organics,Construction,and,Demolition,0,0,0,89.589419,2639.442882,0.032828,,,,
2013-2014,Organics,Food,organics,Municipal,Solid,Waste,0,0,0,5640.100362,651331.393132,0.008585,,,,
2013-2014,Organics,Garden,organics,Commercial,and,Industrial,21949,0,0,0,54338.592674,0.287713,,,,
2013-2014,Organics,Garden,organics,Construction,and,Demolition,7253,0,0,0,19026.500878,0.275994,,,,
2013-2014,Organics,Garden,organics,Municipal,Solid,Waste,329680,0,0,0,103208.067057,0.761582,,,,
2013-2014,Organics,Other,organics,Commercial,and,Industrial,99407,0,0,47.068905,26823.298395,0.787584,,,,
2013-2014,Organics,Other,organics,Construction,and,Demolition,238,0,0,0,462.087066,0.339957,,,,
2013-2014,Organics,Other,organics,Municipal,Solid,Waste,41114,0,0,26.106095,102944.695479,0.285527,,,,
2013-2014,Organics,Wood,/timber,Commercial,and,Industrial,80529,0,0,4.482841,209543.961178,0.277627,,,,
2013-2014,Organics,Wood,/timber,Construction,and,Demolition,19696,0,0,6.518628,103761.235556,0.159581,,,,
2013-2014,Organics,Wood,/timber,Municipal,Solid,Waste,17728.7,0,0,0.998531,28805.804602,0.380992,,,,
2013-2014,Paper,and,cardboard,Cardboard,Commercial,and,Industrial,551833,0,0,197037.2421,69890.704574,0.914638,,,
2013-2014,Paper,and,cardboard,Cardboard,Construction,and,Demolition,0,0,0,10946.51345,3799.520417,0.742336,,,
2013-2014,Paper,and,cardboard,Cardboard,Municipal,Solid,Waste,69218.14,0,0,10946.51345,37834.896175,0.679364,,,
2013-2014,Paper,and,cardboard,Liquidpaperboard,Commercial,and,Industrial,0,0,0,0,25245.903222,0,,,
2013-2014,Paper,and,cardboard,Liquidpaperboard,Construction,and,Demolition,0,0,0,0,471.738996,0,,,
2013-2014,Paper,and,cardboard,Liquidpaperboard,Municipal,Solid,Waste,0,0,0,0,28727.009622,0,,,
2013-2014,Paper,and,cardboard,Newsprint,and,magazines,Commercial,and,Industrial,8990,0,0,103377.0451,0,1,
2013-2014,Paper,and,cardboard,Newsprint,and,magazines,Construction,and,Demolition,0,0,0,7384.07465,0,1,
2013-2014,Paper,and,cardboard,Newsprint,and,magazines,Municipal,Solid,Waste,14753,0,0,36920.37325,0,1,
2013-2014,Paper,and,cardboard,Other,paper,Commercial,and,Industrial,120600,0,0,141817.434456,75366.930034,0.776878,,
2013-2014,Paper,and,cardboard,Other,paper,Construction,and,Demolition,0,0,0,27.987279,1438.910282,0.019079,,
2013-2014,Paper,and,cardboard,Other,paper,Municipal,Solid,Waste,2526,0,0,74198.327265,129266.920819,0.372464,,
2013-2014,Paper,and,cardboard,Printing,and,writing,paper,Commercial,and,Industrial,0,0,0,0,72460.23092,0
2013-2014,Paper,and,cardboard,Printing,and,writing,paper,Construction,and,Demolition,0,0,0,0,1470.270037,0
2013-2014,Paper,and,cardboard,Printing,and,writing,paper,Municipal,Solid,Waste,0,0,0,0,86296.19406,0
2013-2014,Plastic,HDPE,(2),Commercial,and,Industrial,4359.877606,0,275.51401248207,5876.459804,48043.282763,0.17952,,,,
2013-2014,Plastic,HDPE,(2),Construction,and,Demolition,615.483782,0,42.781389834693,973.998863,3845.597097,0.297974,,,,
2013-2014,Plastic,HDPE,(2),Municipal,Solid,Waste,7931.585658,0,902.947648530695,25616.170084,73537.211952,0.319023,,,,
2013-2014,Plastic,LDPE,(4),Commercial,and,Industrial,8164.026888,0,194.961336663163,6691.07595,35982.207591,0.294912,,,,
2013-2014,Plastic,LDPE,(4),Construction,and,Demolition,65.547737,0,0.860261589677918,0,2880.175232,0.022537,,,,
2013-2014,Plastic,LDPE,(4),Municipal,Solid,Waste,14103.94828,0,214.374706597044,2230.35865,35075.594284,0.32056,,,,
2013-2014,Plastic,Other,plastics,(7),Commercial,and,Industrial,4787.701196,0,0,1988.17985,26995.498746,0.200639,,,
2013-2014,Plastic,Other,plastics,(7),Construction,and,Demolition,17.640771,0,0,0,2061.968265,0.008482,,,
2013-2014,Plastic,Other,plastics,(7),Municipal,Solid,Waste,2143.322583,0,0,44.4286,86722.40086,0.024606,,,
2013-2014,Plastic,PET,(1),Commercial,and,Industrial,414.295661,0,2.25281840573629,1844.999195,19900.774031,0.102044,,,,
2013-2014,Plastic,PET,(1),Construction,and,Demolition,67.574743,0,0.067381034763368,0,1592.946078,0.040733,,,,
2013-2014,Plastic,PET,(1),Municipal,Solid,Waste,0,0,26.7899700510258,29888.986955,46048.945198,0.393811,,,,
2013-2014,Plastic,PP,(5),Commercial,and,Industrial,6020.883047,0,201.794858783075,6711.973272,38595.440545,0.251011,,,,
2013-2014,Plastic,PP,(5),Construction,and,Demolition,44.526472,0,0.705671438031108,0,3089.349969,0.01443,,,,
2013-2014,Plastic,PP,(5),Municipal,Solid,Waste,11881.786227,0,240.328995537394,3282.497878,37622.983814,0.290501,,,,
2013-2014,Plastic,PS,(6),Commercial,and,Industrial,641.54225,0,187.120343380065,733.761476,10050.895975,0.134537,,,,
2013-2014,Plastic,PS,(6),Construction,and,Demolition,164.39119,0,58.7997384402276,279.528181,804.518221,0.384566,,,,
2013-2014,Plastic,PS,(6),Municipal,Solid,Waste,1220.64008,0,147.079918179707,1222.935793,9797.652035,0.209121,,,,
2013-2014,Plastic,PVC,(3),Commercial,and,Industrial,785.767045,0,0,1294.9749,25328.257859,0.075914,,,,
2013-2014,Plastic,PVC,(3),Construction,and,Demolition,86.632004,0,0,143.8861,2027.385918,0.102093,,,,
2013-2014,Plastic,PVC,(3),Municipal,Solid,Waste,586.036356,0,0,647.48745,24690.083128,0.047583,,,,
2013-2014,Textiles,Clothing,Commercial,and,Industrial,0,0,0,0,33728.839374,0,,,,,
2013-2014,Textiles,Clothing,Construction,and,Demolition,0,0,0,0,3257.145783,0,,,,,
2013-2014,Textiles,Clothing,Municipal,Solid,Waste,0,0,0,0,64079.189916,0,,,,,
2013-2014,Textiles,Other,textiles,Commercial,and,Industrial,0,0,0,791.042011,51806.823332,0.015039,,,,
2013-2014,Textiles,Other,textiles,Construction,and,Demolition,0,0,0,0,5805.763904,0,,,,
2013-2014,Textiles,Other,textiles,Municipal,Solid,Waste,1742.8,0,0,11.568989,20982.881233,0.077158,,,,
2013-2014,Tyres,and,rubber,Offroad,tyres,Commercial,and,Industrial,0,0,0,4545.855,0,1,,
2013-2014,Tyres,and,rubber,Offroad,tyres,Construction,and,Demolition,0,0,0,0,0,,,
2013-2014,Tyres,and,rubber,Offroad,tyres,Municipal,Solid,Waste,0,0,0,0,0,,,
2013-2014,Tyres,and,rubber,Other,rubber,Commercial,and,Industrial,7718,0,0,24414.20268,7253.46046,0.815835,,
2013-2014,Tyres,and,rubber,Other,rubber,Construction,and,Demolition,0,0,0,0,157.695875,0,,
2013-2014,Tyres,and,rubber,Other,rubber,Municipal,Solid,Waste,0,0,0,2953.63832,2517.477759,0.53986,,
2013-2014,Tyres,and,rubber,Passenger,tyres,Commercial,and,Industrial,19698,0,0,14896.130062,789.551942,0.977685,,
2013-2014,Tyres,and,rubber,Passenger,tyres,Construction,and,Demolition,0,0,0,0,113.100675,0,,
2013-2014,Tyres,and,rubber,Passenger,tyres,Municipal,Solid,Waste,289,0,0,3093.461938,0,1,,
2013-2014,Tyres,and,rubber,Truck,tyres,Commercial,and,Industrial,0,0,0,345.532,0,1,,
2013-2014,Tyres,and,rubber,Truck,tyres,Construction,and,Demolition,0,0,0,0,0,,,
2013-2014,Tyres,and,rubber,Truck,tyres,Municipal,Solid,Waste,0,0,0,0,0,,,
2014-2015,"Aggregate, masonry and soils",Asphalt,Commercial,and,Industrial,0,0,0,0,2808.354167,0,,,,,
2014-2015,"Aggregate, masonry and soils",Asphalt,Construction,and,Demolition,160128,0,0,0,902.446357,0.994395,,,,,
2014-2015,"Aggregate, masonry and soils",Asphalt,Municipal,Solid,Waste,0,0,0,0,754.608838,0,,,,,
2014-2015,"Aggregate, masonry and soils",Bricks,Commercial,and,Industrial,514,0,0,0,24050.303596,0.020924,,,,,
2014-2015,"Aggregate, masonry and soils",Bricks,Construction,and,Demolition,330211,0,0,0,25512.978891,0.928278,,,,,
2014-2015,"Aggregate, masonry and soils",Bricks,Municipal,Solid,Waste,15,0,0,0,49565.430335,0.000302,,,,,
2014-2015,"Aggregate, masonry and soils",Concrete,Commercial,and,Industrial,7212,0,0,0,28417.238001,0.202418,,,,,
2014-2015,"Aggregate, masonry and soils",Concrete,Construction,and,Demolition,1729672,0,0,0,23207.892384,0.98676,,,,,
2014-2015,"Aggregate, masonry and soils",Concrete,Municipal,Solid,Waste,1440,0,0,0,402.419487,0.78158,,,,,
2014-2015,"Aggregate, masonry and soils",Plaster,Commercial,and,Industrial,37971,0,0,0,19837.093905,0.656845,,,,,
2014-2015,"Aggregate, masonry and soils",Plaster,Construction,and,Demolition,90,0,0,0,13794.657309,0.006481,,,,,
2014-2015,"Aggregate, masonry and soils",Plaster,Municipal,Solid,Waste,1,0,0,0,4469.662151,0.000223,,,,,
2014-2015,"Aggregate, masonry and soils",Rubble,Commercial,and,Industrial,19115,0,0,0,12548.300259,0.603695,,,,,
2014-2015,"Aggregate, masonry and soils",Rubble,Construction,and,Demolition,846006,0,0,0,8781.399545,0.989726,,,,,
2014-2015,"Aggregate, masonry and soils",Rubble,Municipal,Solid,Waste,36,0,0,0,3019.215424,0.011783,,,,,
2014-2015,"Aggregate, masonry and soils",Soil,and,natural,materials,Commercial,and,Industrial,13112,0,0,0,95441.42017,0.120788,,
2014-2015,"Aggregate, masonry and soils",Soil,and,natural,materials,Construction,and,Demolition,714125,0,0,0,654261.547224,0.521873,,
2014-2015,"Aggregate, masonry and soils",Soil,and,natural,materials,Municipal,Solid,Waste,0,0,0,0,15733.01896,0,,
2014-2015,Glass,Container,glass,Commercial,and,Industrial,30137,0,0,27.937561,25042.268744,0.546394,,,,
2014-2015,Glass,Container,glass,Construction,and,Demolition,185,0,0,1.059693,606.85159,0.234653,,,,
2014-2015,Glass,Container,glass,Municipal,Solid,Waste,165753,0,0,746.552746,39558.386097,0.808022,,,,
2014-2015,Glass,Other,glass,Commercial,and,Industrial,175,0,0,0,12290.680562,0.014038,,,,
2014-2015,Glass,Other,glass,Construction,and,Demolition,0,0,0,0,2960.726227,0,,,,
2014-2015,Glass,Other,glass,Municipal,Solid,Waste,0,0,0,0,39172.086244,0,,,,
2014-2015,Metals,Aluminium,Commercial,and,Industrial,28730,0,0,486.576682,15545.374581,0.65271,,,,,
2014-2015,Metals,Aluminium,Construction,and,Demolition,1,0,0,60.614432,3497.52444,0.017311,,,,,
2014-2015,Metals,Aluminium,Municipal,Solid,Waste,0,0,0,203.193886,21355.089854,0.009425,,,,,
2014-2015,Metals,Ferrous,Commercial,and,Industrial,423199,0,0,205881.519908,50525.909424,0.925654,,,,,
2014-2015,Metals,Ferrous,Construction,and,Demolition,128194.98,0,0,42549.092418,14976.873771,0.919358,,,,,
2014-2015,Metals,Ferrous,Municipal,Solid,Waste,101802,0,0,131979.732674,35872.239563,0.866969,,,,,
2014-2015,Metals,Other,metals,Commercial,and,Industrial,51690,0,0,11357.633098,0,1,,,,
2014-2015,Metals,Other,metals,Construction,and,Demolition,65012,0,0,850.496961,0,1,,,,
2014-2015,Metals,Other,metals,Municipal,Solid,Waste,130001,0,0,1753.836941,0,1,,,,
2014-2015,Organics,Food,organics,Commercial,and,Industrial,55662,0,0,6303.247871,220636.952495,0.219266,,,,
2014-2015,Organics,Food,organics,Construction,and,Demolition,0,0,0,98.386315,2701.277217,0.035142,,,,
2014-2015,Organics,Food,organics,Municipal,Solid,Waste,12756,0,0,6193.908814,648960.533431,0.028371,,,,
2014-2015,Organics,Garden,organics,Commercial,and,Industrial,24199,0,0,0,55611.585085,0.303205,,,,
2014-2015,Organics,Garden,organics,Construction,and,Demolition,13612,0,0,0,19472.235484,0.411434,,,,
2014-2015,Organics,Garden,organics,Municipal,Solid,Waste,373405,0,0,0,102832.387566,0.784073,,,,
2014-2015,Organics,Other,organics,Commercial,and,Industrial,75438,0,0,44.086213,27451.688893,0.733307,,,,
2014-2015,Organics,Other,organics,Construction,and,Demolition,0,0,0,0,472.912398,0,,,,
2014-2015,Organics,Other,organics,Municipal,Solid,Waste,18452,0,0,24.451787,102569.974665,0.152639,,,,
2014-2015,Organics,Wood,/timber,Commercial,and,Industrial,138998.5,0,0,0,214452.956044,0.39326,,,,
2014-2015,Organics,Wood,/timber,Construction,and,Demolition,36760.65,0,0,0,106192.054225,0.257152,,,,
2014-2015,Organics,Wood,/timber,Municipal,Solid,Waste,18069.5,0,0,0,28700.950882,0.386344,,,,
2014-2015,Paper,and,cardboard,Cardboard,Commercial,and,Industrial,208757.5,0,0,175574.196,71528.036941,0.843092,,,
2014-2015,Paper,and,cardboard,Cardboard,Construction,and,Demolition,295.13,0,0,9754.122,3888.531936,0.721007,,,
2014-2015,Paper,and,cardboard,Cardboard,Municipal,Solid,Waste,1245.5,0,0,9754.122,37697.176373,0.225879,,,
2014-2015,Paper,and,cardboard,Liquidpaperboard,Commercial,and,Industrial,0,0,0,0,25837.34002,0,,,
2014-2015,Paper,and,cardboard,Liquidpaperboard,Construction,and,Demolition,0,0,0,0,482.790445,0,,,
2014-2015,Paper,and,cardboard,Liquidpaperboard,Municipal,Solid,Waste,0,0,0,0,28622.442714,0,,,
2014-2015,Paper,and,cardboard,Newsprint,and,magazines,Commercial,and,Industrial,7939,0,0,100821.728,0,1,
2014-2015,Paper,and,cardboard,Newsprint,and,magazines,Construction,and,Demolition,0,0,0,7201.552,0,1,
2014-2015,Paper,and,cardboard,Newsprint,and,magazines,Municipal,Solid,Waste,0,0,0,36007.76,0,1,
2014-2015,Paper,and,cardboard,Other,paper,Commercial,and,Industrial,421765,0,0,175785.545858,77132.554157,0.885675,,
2014-2015,Paper,and,cardboard,Other,paper,Construction,and,Demolition,0,0,0,34.690792,1472.619691,0.023015,,
2014-2015,Paper,and,cardboard,Other,paper,Municipal,Solid,Waste,91014,0,0,91970.31035,128796.386562,0.5869,,
2014-2015,Paper,and,cardboard,Printing,and,writing,paper,Commercial,and,Industrial,146440,0,0,0,74157.759684,0.663832
2014-2015,Paper,and,cardboard,Printing,and,writing,paper,Construction,and,Demolition,0,0,0,0,1504.714113,0
2014-2015,Paper,and,cardboard,Printing,and,writing,paper,Municipal,Solid,Waste,0,0,0,0,85982.074134,0
2014-2015,Plastic,HDPE,(2),Commercial,and,Industrial,4099.981018,0,385.552611337373,7494.932301,49168.794694,0.195921,,,,
2014-2015,Plastic,HDPE,(2),Construction,and,Demolition,558.186238,0,59.8680133137747,1242.253973,3935.688056,0.320964,,,,
2014-2015,Plastic,HDPE,(2),Municipal,Solid,Waste,5328.964582,0,1263.57937534885,32671.279477,73269.534984,0.348908,,,,
2014-2015,Plastic,LDPE,(4),Commercial,and,Industrial,4879.697151,0,201.046777929163,8397.917475,36825.164227,0.267945,,,,
2014-2015,Plastic,LDPE,(4),Construction,and,Demolition,58.587113,0,0.887113433571588,0,2947.649214,0.019777,,,,
2014-2015,Plastic,LDPE,(4),Municipal,Solid,Waste,11800.433736,0,221.066108637266,2799.305825,34947.918398,0.297793,,,,
2014-2015,Plastic,Other,plastics,(7),Commercial,and,Industrial,924.774882,0,0,2624.43491,27627.923389,0.11384,,,
2014-2015,Plastic,Other,plastics,(7),Construction,and,Demolition,4.909663,0,0,0,2110.274079,0.002321,,,
2014-2015,Plastic,Other,plastics,(7),Municipal,Solid,Waste,550.233955,0,0,58.64659,86406.729532,0.006997,,,
2014-2015,Plastic,PET,(1),Commercial,and,Industrial,888.300236,0,415.194104256032,2267.050407,20366.990271,0.14916,,,,
2014-2015,Plastic,PET,(1),Construction,and,Demolition,94.375468,0,12.4183148988778,0,1630.26409,0.061479,,,,
2014-2015,Plastic,PET,(1),Municipal,Solid,Waste,796.447916,0,4937.38758084509,36726.216593,48892.326471,0.464794,,,,
2014-2015,Plastic,PP,(5),Commercial,and,Industrial,5169.318739,0,355.89719190389,8276.433557,39499.617496,0.258936,,,,
2014-2015,Plastic,PP,(5),Construction,and,Demolition,47.01945,0,1.24456333881146,0,3161.724295,0.015035,,,,
2014-2015,Plastic,PP,(5),Municipal,Solid,Waste,11965.713651,0,423.858244757299,4047.598893,37486.035376,0.304825,,,,
2014-2015,Plastic,PS,(6),Commercial,and,Industrial,102.374609,0,128.380257646947,717.156875,10286.358722,0.084376,,,,
2014-2015,Plastic,PS,(6),Construction,and,Demolition,53.819124,0,42.3455104398411,215.147063,823.365703,0.274361,,,,
2014-2015,Plastic,PS,(6),Municipal,Solid,Waste,34.441256,0,333.274231913211,1936.323563,9761.98838,0.190952,,,,
2014-2015,Plastic,PVC,(3),Commercial,and,Industrial,466.992824,0,17.6096091926945,1705.782724,25921.623981,0.077916,,,,
2014-2015,Plastic,PVC,(3),Construction,and,Demolition,51.18277,0,1.9509068514283,189.531414,2074.88157,0.104707,,,,
2014-2015,Plastic,PVC,(3),Municipal,Solid,Waste,435.192617,0,10.4394839558772,852.891362,24600.210715,0.050138,,,,
2014-2015,Textiles,Clothing,Commercial,and,Industrial,0,0,0,0,34519.00626,0,,,,,
2014-2015,Textiles,Clothing,Construction,and,Demolition,0,0,0,0,3333.451069,0,,,,,
2014-2015,Textiles,Clothing,Municipal,Solid,Waste,0,0,0,0,63845.940343,0,,,,,
2014-2015,Textiles,Other,textiles,Commercial,and,Industrial,90,0,0,580.351361,53020.50388,0.012485,,,,
2014-2015,Textiles,Other,textiles,Construction,and,Demolition,2.6,0,0,0,5941.77577,0.000437,,,,
2014-2015,Textiles,Other,textiles,Municipal,Solid,Waste,210,0,0,8.487639,20906.503112,0.010342,,,,
2014-2015,Tyres,and,rubber,Offroad,tyres,Commercial,and,Industrial,1721,0,0,4719.829,0,1,,
2014-2015,Tyres,and,rubber,Offroad,tyres,Construction,and,Demolition,0,0,0,0,0,,,
2014-2015,Tyres,and,rubber,Offroad,tyres,Municipal,Solid,Waste,17,0,0,0,0,1,,
2014-2015,Tyres,and,rubber,Other,rubber,Commercial,and,Industrial,0,0,0,7260.432476,7423.387572,0.494451,,
2014-2015,Tyres,and,rubber,Other,rubber,Construction,and,Demolition,0,0,0,0,161.390222,0,,
2014-2015,Tyres,and,rubber,Other,rubber,Municipal,Solid,Waste,0,0,0,878.369524,2508.314089,0.259359,,
2014-2015,Tyres,and,rubber,Passenger,tyres,Commercial,and,Industrial,13666,0,0,16464.233791,808.048807,0.973881,,
2014-2015,Tyres,and,rubber,Passenger,tyres,Construction,and,Demolition,0,0,0,0,115.75029,0,,
2014-2015,Tyres,and,rubber,Passenger,tyres,Municipal,Solid,Waste,138,0,0,3419.108209,0,1,,
2014-2015,Tyres,and,rubber,Truck,tyres,Commercial,and,Industrial,13096,0,0,193.707,0,1,,
2014-2015,Tyres,and,rubber,Truck,tyres,Construction,and,Demolition,0,0,0,0,0,,,
2014-2015,Tyres,and,rubber,Truck,tyres,Municipal,Solid,Waste,56,0,0,0,0,1,,
2015-2016,"Aggregate, masonry and soils",Asphalt,Commercial,and,Industrial,0,0,0,0,2965.627885,0,,,,,
2015-2016,"Aggregate, masonry and soils",Asphalt,Construction,and,Demolition,618151,0,0,0,952.985244,0.99846,,,,,
2015-2016,"Aggregate, masonry and soils",Asphalt,Municipal,Solid,Waste,8436,0,0,0,739.857782,0.919369,,,,,
2015-2016,"Aggregate, masonry and soils",Bricks,Commercial,and,Industrial,0,0,0,0,25397.170992,0,,,,,
2015-2016,"Aggregate, masonry and soils",Bricks,Construction,and,Demolition,424778,0,0,0,26941.759168,0.940357,,,,,
2015-2016,"Aggregate, masonry and soils",Bricks,Municipal,Solid,Waste,2000,0,0,0,48596.527806,0.039528,,,,,
2015-2016,"Aggregate, masonry and soils",Concrete,Commercial,and,Industrial,0,0,0,0,30008.662874,0,,,,,
2015-2016,"Aggregate, masonry and soils",Concrete,Construction,and,Demolition,2340192,0,0,0,24507.582987,0.989636,,,,,
2015-2016,"Aggregate, masonry and soils",Concrete,Municipal,Solid,Waste,33668,0,0,0,394.553011,0.988416,,,,,
2015-2016,"Aggregate, masonry and soils",Plaster,Commercial,and,Industrial,82,0,0,0,20948.012731,0.003899,,,,,
2015-2016,"Aggregate, masonry and soils",Plaster,Construction,and,Demolition,36163,0,0,0,14567.187024,0.712849,,,,,
2015-2016,"Aggregate, masonry and soils",Plaster,Municipal,Solid,Waste,623,0,0,0,4382.289421,0.124468,,,,,
2015-2016,"Aggregate, masonry and soils",Rubble,Commercial,and,Industrial,2552,0,0,0,13251.031367,0.161488,,,,,
2015-2016,"Aggregate, masonry and soils",Rubble,Construction,and,Demolition,579988,0,0,0,9273.176321,0.984263,,,,,
2015-2016,"Aggregate, masonry and soils",Rubble,Municipal,Solid,Waste,0,0,0,0,2960.195953,0,,,,,
2015-2016,"Aggregate, masonry and soils",Soil,and,natural,materials,Commercial,and,Industrial,10937,0,0,0,100786.339687,0.097893,,
2015-2016,"Aggregate, masonry and soils",Soil,and,natural,materials,Construction,and,Demolition,88460,0,0,0,690901.564806,0.113503,,
2015-2016,"Aggregate, masonry and soils",Soil,and,natural,materials,Municipal,Solid,Waste,800,0,0,0,15425.4707,0.049305,,
2015-2016,Glass,Container,glass,Commercial,and,Industrial,20140,0,0,114.023756,26444.688267,0.433716,,,,
2015-2016,Glass,Container,glass,Construction,and,Demolition,519,0,0,4.325009,640.83655,0.449529,,,,
2015-2016,Glass,Container,glass,Municipal,Solid,Waste,161095,0,0,3046.964235,38785.100763,0.808871,,,,
2015-2016,Glass,Other,glass,Commercial,and,Industrial,0,0,0,0,12978.984428,0,,,,
2015-2016,Glass,Other,glass,Construction,and,Demolition,0,0,0,0,3126.533099,0,,,,
2015-2016,Glass,Other,glass,Municipal,Solid,Waste,0,0,0,0,38406.35228,0,,,,
2015-2016,Metals,Aluminium,Commercial,and,Industrial,35080,0,0,15.562465,16415.948132,0.681314,,,,,
2015-2016,Metals,Aluminium,Construction,and,Demolition,0,0,0,1.938667,3693.393136,0.000524,,,,,
2015-2016,Metals,Aluminium,Municipal,Solid,Waste,1667,0,0,6.498868,20937.641636,0.074012,,,,,
2015-2016,Metals,Ferrous,Commercial,and,Industrial,174649.38,0,0,132580.682489,53355.466225,0.852031,,,,,
2015-2016,Metals,Ferrous,Construction,and,Demolition,88786,0,0,27400.165467,15815.610084,0.880186,,,,,
2015-2016,Metals,Ferrous,Municipal,Solid,Waste,126015.7,0,0,84990.450044,35171.010836,0.857131,,,,,
2015-2016,Metals,Other,metals,Commercial,and,Industrial,438310,0,0,9075.534955,0,1,,,,
2015-2016,Metals,Other,metals,Construction,and,Demolition,65333,0,0,679.605939,0,1,,,,
2015-2016,Metals,Other,metals,Municipal,Solid,Waste,136602,0,0,1401.437106,0,1,,,,
2015-2016,Organics,Food,organics,Commercial,and,Industrial,61120.24,0,0,6746.614575,232993.084156,0.225576,,,,
2015-2016,Organics,Food,organics,Construction,and,Demolition,0,0,0,105.30675,2852.554402,0.035602,,,,
2015-2016,Organics,Food,organics,Municipal,Solid,Waste,4852.23,0,0,6629.584674,636274.685699,0.017725,,,,
2015-2016,Organics,Garden,organics,Commercial,and,Industrial,185594.76,0,0,0,58725.950379,0.759635,,,,
2015-2016,Organics,Garden,organics,Construction,and,Demolition,0,0,0,0,20562.721473,0,,,,
2015-2016,Organics,Garden,organics,Municipal,Solid,Waste,266803.77,0,0,0,100822.225247,0.725747,,,,
2015-2016,Organics,Other,organics,Commercial,and,Industrial,82941,0,0,11.05468,28989.040993,0.741033,,,,
2015-2016,Organics,Other,organics,Construction,and,Demolition,0,0,0,0,499.396483,0,,,,
2015-2016,Organics,Other,organics,Municipal,Solid,Waste,12979,0,0,6.13132,100564.941981,0.114355,,,,
2015-2016,Organics,Wood,/timber,Commercial,and,Industrial,109853.65,0,0,33.994876,226462.770944,0.326705,,,,
2015-2016,Organics,Wood,/timber,Construction,and,Demolition,70578,0,0,49.432929,112139.031773,0.386435,,,,
2015-2016,Organics,Wood,/timber,Municipal,Solid,Waste,23278.75,0,0,7.572195,28139.906142,0.45281,,,,
2015-2016,Paper,and,cardboard,Cardboard,Commercial,and,Industrial,514547.53,0,0,202904.8533,75533.75689,0.904747,,,
2015-2016,Paper,and,cardboard,Cardboard,Construction,and,Demolition,257,0,0,11272.49185,4106.297873,0.737378,,,
2015-2016,Paper,and,cardboard,Cardboard,Municipal,Solid,Waste,1158.95,0,0,11272.49185,36960.273873,0.25169,,,
2015-2016,Paper,and,cardboard,Liquidpaperboard,Commercial,and,Industrial,0,0,0,0,27284.2852,0,,,
2015-2016,Paper,and,cardboard,Liquidpaperboard,Construction,and,Demolition,0,0,0,0,509.827721,0,,,
2015-2016,Paper,and,cardboard,Liquidpaperboard,Municipal,Solid,Waste,0,0,0,0,28062.932649,0,,,
2015-2016,Paper,and,cardboard,Newsprint,and,magazines,Commercial,and,Industrial,30186,0,0,91863.1343,0,1,
2015-2016,Paper,and,cardboard,Newsprint,and,magazines,Construction,and,Demolition,0,0,0,6561.65245,0,1,
2015-2016,Paper,and,cardboard,Newsprint,and,magazines,Municipal,Solid,Waste,0,0,0,32808.26225,0,1,
2015-2016,Paper,and,cardboard,Other,paper,Commercial,and,Industrial,11074,0,0,220504.054101,81452.138813,0.739794,,
2015-2016,Paper,and,cardboard,Other,paper,Construction,and,Demolition,0,0,0,43.515866,1555.08948,0.027221,,
2015-2016,Paper,and,cardboard,Other,paper,Municipal,Solid,Waste,127137,0,0,115366.859033,126278.681302,0.657579,,
2015-2016,Paper,and,cardboard,Printing,and,writing,paper,Commercial,and,Industrial,173023,0,0,0,78310.749617,0.688419
2015-2016,Paper,and,cardboard,Printing,and,writing,paper,Construction,and,Demolition,0,0,0,0,1588.981256,0
2015-2016,Paper,and,cardboard,Printing,and,writing,paper,Municipal,Solid,Waste,0,0,0,0,84301.300891,0
2015-2016,Plastic,HDPE,(2),Commercial,and,Industrial,2609.874449,0,434.169690180675,7335.497365,51922.350224,0.1666,,,,
2015-2016,Plastic,HDPE,(2),Construction,and,Demolition,546.173563,0,67.4171981406433,1215.828293,4156.094834,0.305641,,,,
2015-2016,Plastic,HDPE,(2),Municipal,Solid,Waste,4132.44373,0,1422.91311167868,31976.284093,71837.265814,0.343165,,,,
2015-2016,Plastic,LDPE,(4),Commercial,and,Industrial,7073.732698,0,360.03057749726,8322.22125,38887.450587,0.288341,,,,
2015-2016,Plastic,LDPE,(4),Construction,and,Demolition,24.128367,0,1.58862512040302,0,3112.723746,0.008194,,,,
2015-2016,Plastic,LDPE,(4),Municipal,Solid,Waste,13509.352968,0,395.880797382337,2774.07375,34264.758254,0.327404,,,,
2015-2016,Plastic,Other,plastics,(7),Commercial,and,Industrial,0,0,20,2501.475555,28901.831164,0.080242,,,
2015-2016,Plastic,Other,plastics,(7),Construction,and,Demolition,0,0,0,0,2228.453848,0,,,
2015-2016,Plastic,Other,plastics,(7),Municipal,Solid,Waste,209.067565,0,0,55.898895,84717.655145,0.003117,,,
2015-2016,Plastic,PET,(1),Commercial,and,Industrial,0,0,243.104120101351,2283.998265,20451.139963,0.109978,,,,
2015-2016,Plastic,PET,(1),Construction,and,Demolition,0,0,7.27116181488825,0,1721.562296,0.004205,,,,
2015-2016,Plastic,PET,(1),Municipal,Solid,Waste,0,0,2890.93523038205,37000.771885,44416.631275,0.473164,,,,
2015-2016,Plastic,PP,(5),Commercial,and,Industrial,2245.712835,0,435.187987539327,8315.464656,41711.678842,0.208627,,,,
2015-2016,Plastic,PP,(5),Construction,and,Demolition,0,0,1.52184121455179,0,3338.787482,0.000455,,,,
